date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:45:25	96/96	---M-Z	200	added ('OK')	text/plain	etag:%224695121df1bc2c914a4b3cc065300606%22	https://godofdesign.framer.wiki/robots.txt		(from )
07:45:25	402421/402421	---M-Z	200	added ('OK')	text/html	etag:%228bce8cef73867db9b2996c9141e924a5%22	https://godofdesign.framer.wiki/	C:/My%20Web%20Sites/godofdesign/godofdesign.framer.wiki/index.html	(from )
07:45:27	7011/7011	---MC-	200	added ('OK')	image/png	etag:%22c27f8a7cb24bda1cbf272e5a7681ac7f%22	https://framerusercontent.com/images/eVTjd4i7OQQ9C0ht13t6fN1Euo.png	C:/My%20Web%20Sites/godofdesign/framerusercontent.com/images/eVTjd4i7OQQ9C0ht13t6fN1Euo.png	(from https://godofdesign.framer.wiki/)
07:45:28	268060/268060	---M-Z	200	added ('OK')	text/html	etag:%228af44c464ac7dda76d6ce266b2148376%22	https://godofdesign.framer.wiki/experience	C:/My%20Web%20Sites/godofdesign/godofdesign.framer.wiki/experience.html	(from https://godofdesign.framer.wiki/)
07:45:29	257896/257896	---M-Z	200	added ('OK')	text/html	etag:%22c8cf0a486ebf9cda7ea2261bd1c36464%22	https://godofdesign.framer.wiki/projects	C:/My%20Web%20Sites/godofdesign/godofdesign.framer.wiki/projects.html	(from https://godofdesign.framer.wiki/)
07:45:30	274282/274282	---M-Z	200	added ('OK')	text/html	etag:%225bf1dba6800513b05dbb416888b4c577%22	https://godofdesign.framer.wiki/tools	C:/My%20Web%20Sites/godofdesign/godofdesign.framer.wiki/tools.html	(from https://godofdesign.framer.wiki/)
07:45:31	293926/293926	---M-Z	200	added ('OK')	text/html	etag:%2209ce60d6aedf259fe651a30c915ad20b%22	https://godofdesign.framer.wiki/blog	C:/My%20Web%20Sites/godofdesign/godofdesign.framer.wiki/blog.html	(from https://godofdesign.framer.wiki/)
07:45:32	51500/51500	---MC-	200	added ('OK')	image/jpeg	etag:%2284914fbea990fb9da38ed3eee702f22f%22	https://framerusercontent.com/images/w2hyXovpoCcfHZkjR4Hmr53RA5o.jpg?scale-down-to=1024	C:/My%20Web%20Sites/godofdesign/framerusercontent.com/images/w2hyXovpoCcfHZkjR4Hmr53RA5obf23.jpg	(from https://godofdesign.framer.wiki/)
07:45:33	52144/52144	---MC-	200	added ('OK')	image/jpeg	etag:%22b1ec56d17337d9cf0cec310818a95975%22	https://framerusercontent.com/images/HZVty7h6pOWqz9MgOrGioC5dEM.jpg	C:/My%20Web%20Sites/godofdesign/framerusercontent.com/images/HZVty7h6pOWqz9MgOrGioC5dEM.jpg	(from https://godofdesign.framer.wiki/)
07:45:33	55992/55992	---MC-	200	added ('OK')	image/jpeg	etag:%22332aafe4cea11bbff967a9375892806d%22	https://framerusercontent.com/images/xk6Txt07CRRH1vKcDVTQJSzZx5o.jpeg	C:/My%20Web%20Sites/godofdesign/framerusercontent.com/images/xk6Txt07CRRH1vKcDVTQJSzZx5o.jpg	(from https://godofdesign.framer.wiki/)
07:45:34	42347/42347	---MC-	200	added ('OK')	image/jpeg	etag:%2264441955c6babe130dd90410aaebace6%22	https://framerusercontent.com/images/QYuBadXuZMyXPEyAxGrVh7iNaU.jpg	C:/My%20Web%20Sites/godofdesign/framerusercontent.com/images/QYuBadXuZMyXPEyAxGrVh7iNaU.jpg	(from https://godofdesign.framer.wiki/)
07:45:34	2252/2252	---MC-	200	added ('OK')	image/png	etag:%22dd815782cc70040758737ed17e5e84c6%22	https://framerusercontent.com/images/ay9QMj9AVG8gxBjilndTmDdmeQ.png	C:/My%20Web%20Sites/godofdesign/framerusercontent.com/images/ay9QMj9AVG8gxBjilndTmDdmeQ.png	(from https://godofdesign.framer.wiki/)
07:45:34	3755/3755	---MC-	200	added ('OK')	image/png	etag:%22ee77fb2474baf983ae342b13cee0d757%22	https://framerusercontent.com/images/SvTAZZonMqViqF7fP6GK7CWmL84.png	C:/My%20Web%20Sites/godofdesign/framerusercontent.com/images/SvTAZZonMqViqF7fP6GK7CWmL84.png	(from https://godofdesign.framer.wiki/)
07:45:34	3928/3928	---MC-	200	added ('OK')	image/png	etag:%220d8bf01f7eafe2cd978a90db5e88d562%22	https://framerusercontent.com/images/U1s9zT0tOtXbjdWvMrIgPFH0TyM.png	C:/My%20Web%20Sites/godofdesign/framerusercontent.com/images/U1s9zT0tOtXbjdWvMrIgPFH0TyM.png	(from https://godofdesign.framer.wiki/)
07:45:35	5944/5944	---MC-	200	added ('OK')	image/png	etag:%2261f1cb38d82a1cecc1973bd3a3084320%22	https://framerusercontent.com/images/MViiiLyIvL8tvy7d1XtOsM32o.png	C:/My%20Web%20Sites/godofdesign/framerusercontent.com/images/MViiiLyIvL8tvy7d1XtOsM32o.png	(from https://godofdesign.framer.wiki/)
07:45:35	4832/4832	---MC-	200	added ('OK')	image/png	etag:%225b663e7a20772a0ad42ad1f3999a92c1%22	https://framerusercontent.com/images/iP5FTKjb84EsPLiEwbrAY7NEy44.png	C:/My%20Web%20Sites/godofdesign/framerusercontent.com/images/iP5FTKjb84EsPLiEwbrAY7NEy44.png	(from https://godofdesign.framer.wiki/)
07:45:36	3762/3762	---MC-	200	added ('OK')	image/png	etag:%22d701cd81e15edc5e1e53bd5084f21450%22	https://framerusercontent.com/images/MnQFYNLxlgT4EvY2ctcJfHAXZA.png	C:/My%20Web%20Sites/godofdesign/framerusercontent.com/images/MnQFYNLxlgT4EvY2ctcJfHAXZA.png	(from https://godofdesign.framer.wiki/)
07:45:37	269972/269972	---M-Z	200	added ('OK')	text/html	etag:%22ade84a3c369842c63e5331d5a0869759%22	https://godofdesign.framer.wiki/blog/starting-a-career-in-web-design	C:/My%20Web%20Sites/godofdesign/godofdesign.framer.wiki/blog/starting-a-career-in-web-design.html	(from https://godofdesign.framer.wiki/)
07:45:38	270473/270473	---M-Z	200	added ('OK')	text/html	etag:%22843e485c33cc3e29970de1c9488ce75e%22	https://godofdesign.framer.wiki/blog/create-a-landing-page-that-performs-great	C:/My%20Web%20Sites/godofdesign/godofdesign.framer.wiki/blog/create-a-landing-page-that-performs-great.html	(from https://godofdesign.framer.wiki/)
07:45:39	282534/282534	---M-Z	200	added ('OK')	text/html	etag:%22cea9ea1d563ca26f3d43314b020fdb56%22	https://godofdesign.framer.wiki/blog/how-can-designers-prepare-for-the-future	C:/My%20Web%20Sites/godofdesign/godofdesign.framer.wiki/blog/how-can-designers-prepare-for-the-future.html	(from https://godofdesign.framer.wiki/)
07:45:41	267152/267152	---M-Z	200	added ('OK')	text/html	etag:%221aa8c1c9464b8b807c5ec179f4904b17%22	https://godofdesign.framer.wiki/blog/building-a-navigation-component	C:/My%20Web%20Sites/godofdesign/godofdesign.framer.wiki/blog/building-a-navigation-component.html	(from https://godofdesign.framer.wiki/blog)
